53,7837
53,3679
53,8936
53,8748
53,9788
53,5699
53,5341
53,8112
53,9575
53,9495
53,7117
53,6156
53,9924
53,7148
53,5596
53,401
53,7114
53,2032
53,8478
53,3187
53,4941
53,7697
53,6228
53,6503
52,9578
53,6547
52,6531
53,5069
53,6708
53,9605
53,8649
52,0045
53,5985
53,8035
53,7175
53,9719
53,9172
53,9859
53,41
53,2727
53,8125
52,7873
53,7743
53,8682
53,1795
53,0637
52,5997
53,8838
53,9054
53,6392
53,4715
53,8308
53,7778
53,8841
53,374
53,8902
53,7942
53,2762
53,6348
53,6213
53,9362
53,9485
53,785
53,8455
53,0017
53,5491
53,5088
53,6053
53,8869
53,4957
53,7187
53,9107
52,9706
53,9219
53,1841
53,9415
53,8089
53,9756
53,6759
53,3311
53,9602
53,7913
53,8224
53,7409
53,9912
53,5784
53,694
53,914
53,9908
53,1547
52,9081
53,527
53,8676
52,3697
53,975
53,8924
53,9216
53,3142
53,5082
53,5509
