389,4329
388,7438
386,0547
388,1103
389,1549
388,6294
390,5701
389,7925
389,3241
391,3933
387,3649
388,3143
389,0391
387,2018
391,2995
391,2069
390,0734
388,1081
393,958
385,2786
386,8485
388,3921
388,2323
390,1315
390,8508
387,9168
387,6078
386,7012
388,8709
387,8772
392,701
387,8605
385,7218
389,3265
386,0235
385,1038
389,759
388,5869
388,4439
391,0781
388,5311
389,3152
392,0115
388,1232
391,8278
387,4099
390,1665
386,7201
389,917
388,2444
390,7432
387,9206
391,0159
388,7757
387,4755
391,846
389,9964
392,5045
390,2611
390,5412
390,2129
387,7015
388,9988
388,3573
393,3633
385,9312
390,3068
389,085
387,5523
391,5862
386,7717
388,729
388,8229
387,6784
392,2748
389,7269
389,2487
386,226
387,4675
390,7421
389,5791
389,5774
389,0892
390,3482
385,8773
389,6819
384,0872
387,3232
384,1199
388,4734
386,2393
386,2246
391,0569
389,3639
388,4826
390,6741
389,5388
390,7313
388,1587
387,8007
