9,6911
9,2224
4,1479
9,9694
9,1761
9,3291
4,1934
4,2196
9,0734
8,8827
9,0921
9,3666
8,7509
4,8694
4,6277
9,748
4,8514
4,1809
9,7686
6,662
9,7005
9,4889
4,5266
8,7166
8,7879
7,2198
9,581
9,9203
4,1321
7,6347
4,6905
4,6479
6,7228
8,5795
5,2093
8,0762
4,251
4,2616
8,7828
4,6169
4,1386
4,6655
9,1697
6,1104
9,6307
4,0924
9,2358
4,5716
7,5894
9,0503
9,7266
9,2873
4,6019
4,355
9,4319
5,3236
4,4363
4,2389
6,1426
4,7108
5,3952
9,2598
9,5381
6,0663
9,8294
4,6155
4,1157
5,2388
4,7019
5,3081
4,3691
9,5021
4,227
9,8533
5,1876
5,1124
5,0625
4,1732
8,3156
9,9884
4,6569
8,8823
9,5266
8,9629
4,4396
9,4768
4,1687
9,9974
4,1186
9,9578
9,5543
8,7837
5,57
9,9561
9,5518
5,7241
9,9697
9,055
4,3839
4,1539
